ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Rossendale and Darwen,North West,154000,435,22594,4800,3.692307692,14.67142857
Rother Valley,Yorkshire and The Humber,180000,502,26109,5600,3.684210526,14.505
Rotherham,Yorkshire and The Humber,140000,475,24705,4800,4.137931034,17.64642857
Rugby,West Midlands,240000,469,24409,3251,1.452753662,10.17041667
"Ruislip, Northwood and Pinner",London,625000,491,25553,20000,3.80952381,4.08848
Runnymede and Weybridge,South East,479000,570,29640,11300,2.674556213,6.187891441
Rushcliffe,East Midlands,290000,509,26478,2401,0.863684599,9.130344828
Rutland and Melton,East Midlands,265000,491,25511,6000,2.553191489,9.626792453
Saffron Walden,East of England,440000,477,24820,5550,1.346270467,5.640909091
Salford and Eccles,North West,206092,586,30462,9218,5.7615,14.78077752
Salisbury,South West,305000,530,27581,2710,0.929833591,9.04295082
Scarborough and Whitby,Yorkshire and The Humber,180750,490,25501,4150,2.59375,14.10843707
Scunthorpe,Yorkshire and The Humber,143250,440,22859,3800,3.058350101,15.9574171
Sedgefield,North East,129950,514,26738,1990,1.658333333,20.575606
Sefton Central,North West,233000,411,21377,6200,3.069306931,9.174678112
